Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition
ALB,0 days 00:01:29.392000,MEDIUM,305.0,274.0,281.0,307.0,MEDIUM,7.0,0 days 00:01:46.366666666,,0.0,14.0,11.0,13.971428571428572,36.91428571428571,4.585714285714286,288.57142857142856,40.142857142857146,1011.5428571428572,13.6,36.5,4.5,289.0,41.0,1011.7,0 days 00:01:29.023000,HARD,305.0,271.0,278.0,305.0,HARD,4.0,0 days 00:01:51.415500,,0.0,2.5,1.0,13.85,33.775,5.1,288.0,42.5,1010.55,13.3,30.7,5.5,275.0,42.0,1010.6,0 days 00:01:28.554000,MEDIUM,298.0,272.0,287.0,302.0,MEDIUM,10.0,0 days 00:01:40.973700,-1 days +23:59:23.365000,0.0,10.5,6.0,14.36,38.82000000000001,3.49,157.0,38.3,1014.94,14.2,38.9,1.2,0.0,36.0,1014.9,0 days 00:01:28.218000,0 days 00:01:27.783000,0 days 00:01:27.615000,9.0,295.0,14.9,33.6,2.7,131.0,56.0,1013.3,296.0,14.7,32.1,2.5,121.0,59.0,1013.3,294.0,14.4,28.7,3.6,149.0,60.0,1013.2,0 days 00:00:40.367000,9.0
ALO,0 days 00:01:29.222000,HARD,303.0,273.0,279.0,304.0,HARD,7.0,0 days 00:01:53.644833333,,0.0,4.0,1.0,13.6,35.44285714285714,4.442857142857142,284.7142857142857,41.142857142857146,1011.8571428571428,13.7,36.6,5.2,286.0,42.0,1011.8,0 days 00:01:29.978000,MEDIUM,302.0,268.0,277.0,304.0,MEDIUM,3.0,0 days 00:01:29.978000,,0.0,2.0,1.0,13.9,33.800000000000004,5.000000000000001,292.3333333333333,42.333333333333336,1010.6666666666666,13.9,33.7,5.4,292.0,42.0,1010.5,0 days 00:01:29.772000,MEDIUM,294.0,267.0,284.0,297.0,MEDIUM,8.0,0 days 00:01:37.303571428,,0.0,10.5,7.0,14.25,38.9375,3.325,156.125,38.5,1014.9125,14.1,39.2,2.9,155.0,39.0,1015.1,0 days 00:01:28.337000,0 days 00:01:27.897000,,13.0,295.0,14.9,33.7,3.8,149.0,57.0,1013.2,294.0,14.6,30.8,3.5,144.0,60.0,1013.3,,,,,,,,0 days 00:00:57.333000,11.0
ANT,0 days 00:01:29.284000,MEDIUM,306.0,274.0,280.0,307.0,MEDIUM,13.0,0 days 00:01:41.712250,,0.0,16.0,10.0,13.746153846153849,36.71538461538462,4.923076923076923,288.46153846153845,40.92307692307692,1011.5538461538462,13.6,35.9,4.2,305.0,41.0,1011.8,0 days 00:01:29.733000,HARD,309.0,273.0,278.0,309.0,HARD,3.0,0 days 00:01:31.059000,,0.0,2.0,1.0,13.9,33.800000000000004,5.000000000000001,292.3333333333333,42.333333333333336,1010.6666666666666,13.5,31.2,5.0,287.0,42.0,1010.6,0 days 00:01:29.126000,MEDIUM,294.0,269.0,287.0,299.0,MEDIUM,9.0,0 days 00:01:33.435625,,0.0,11.0,7.0,14.3,38.82222222222222,3.2888888888888888,155.44444444444446,38.44444444444444,1014.9777777777776,14.3,38.7,1.3,169.0,37.0,1014.8,0 days 00:01:27.968000,0 days 00:01:27.639000,0 days 00:01:27.555000,6.0,297.0,14.8,33.7,3.8,149.0,57.0,1013.2,294.0,14.6,31.0,3.8,149.0,60.0,1013.3,295.0,14.3,28.8,3.4,155.0,60.0,1013.3,0 days 00:00:18.671000,6.0
BEA,0 days 00:01:30.077000,MEDIUM,302.0,268.0,278.0,301.0,MEDIUM,9.0,0 days 00:01:34.830800,,0.0,6.0,2.0,13.588888888888889,35.98888888888889,4.366666666666667,285.77777777777777,42.666666666666664,1011.7777777777778,14.1,37.0,6.2,287.0,39.0,1011.5,0 days 00:01:29.654000,MEDIUM,306.0,272.0,281.0,307.0,MEDIUM,3.0,0 days 00:01:31.293000,,0.0,2.0,1.0,13.9,33.800000000000004,5.000000000000001,292.3333333333333,42.333333333333336,1010.6666666666666,13.3,30.6,5.7,286.0,42.0,1010.7,0 days 00:01:30.084000,HARD,292.0,268.0,286.0,296.0,HARD,9.0,0 days 00:01:35.320875,,0.0,10.0,6.0,14.255555555555556,38.86666666666667,3.511111111111111,157.55555555555554,38.55555555555556,1014.9444444444443,14.2,39.3,2.6,153.0,38.0,1015.0,0 days 00:01:28.228000,0 days 00:01:27.711000,0 days 00:01:27.867000,10.0,297.0,14.8,33.9,2.1,129.0,59.0,1013.4,295.0,14.6,30.8,3.5,144.0,60.0,1013.3,294.0,14.3,28.8,3.4,155.0,60.0,1013.3,0 days 00:00:54.529000,10.0
BOR,0 days 00:01:30.147000,HARD,301.0,270.0,278.0,305.0,HARD,13.0,0 days 00:01:36.794545454,,0.0,14.0,8.0,13.76923076923077,36.69230769230769,4.892307692307692,286.9230769230769,40.69230769230769,1011.5769230769232,13.6,36.5,4.1,295.0,42.0,1011.6,0 days 00:01:29.335000,MEDIUM,305.0,273.0,277.0,307.0,MEDIUM,4.0,0 days 00:01:56.425000,,0.0,2.5,1.0,13.85,33.775,5.375,285.5,42.75,1010.575,13.5,31.4,4.2,284.0,42.0,1010.6,0 days 00:01:30.134000,MEDIUM,292.0,267.0,287.0,295.0,MEDIUM,6.0,0 days 00:01:49.253600,,0.0,8.5,6.0,14.3,38.833333333333336,3.5833333333333335,156.66666666666666,38.0,1014.9333333333334,14.4,38.9,3.2,158.0,38.0,1014.9,0 days 00:01:28.622000,,,17.0,293.0,14.8,33.9,2.1,129.0,59.0,1013.4,,,,,,,,,,,,,,,0 days 00:01:23.897000,19.0
DOO,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:31.659000,HARD,303.0,272.0,272.0,304.0,HARD,3.0,0 days 00:01:59.955000,,0.0,2.0,1.0,13.9,33.833333333333336,5.466666666666666,285.0,42.666666666666664,1010.6,13.9,33.8,5.0,285.0,42.0,1010.6,0 days 00:01:29.767000,SOFT,295.0,270.0,286.0,297.0,SOFT,6.0,0 days 00:01:54.258200,,0.0,7.5,5.0,14.35,39.03333333333334,3.3833333333333333,150.16666666666666,37.833333333333336,1015.0166666666664,14.3,38.7,1.3,169.0,37.0,1014.8,0 days 00:01:28.877000,,,19.0,299.0,14.7,33.9,2.7,120.0,58.0,1013.4,,,,,,,,,,,,,,,0 days 00:01:21.314000,15.0
GAS,0 days 00:01:29.547000,MEDIUM,306.0,272.0,279.0,307.0,MEDIUM,9.0,0 days 00:01:51.298375,,0.0,5.0,1.0,13.633333333333333,35.722222222222214,4.711111111111111,287.3333333333333,41.333333333333336,1011.8888888888888,13.6,36.5,4.5,289.0,41.0,1011.7,0 days 00:01:28.757000,HARD,312.0,274.0,283.0,310.0,HARD,4.0,0 days 00:01:53.981500,,0.0,2.5,1.0,13.85,33.775,5.1,288.0,42.5,1010.55,13.5,31.4,4.2,284.0,42.0,1010.6,0 days 00:01:28.603000,MEDIUM,296.0,269.0,287.0,297.0,MEDIUM,5.0,0 days 00:01:46.038666666,,0.0,3.0,1.0,14.24,39.220000000000006,3.74,154.0,38.0,1015.06,14.3,38.7,2.2,137.0,36.0,1014.8,0 days 00:01:28.186000,0 days 00:01:27.822000,,11.0,295.0,14.9,33.7,3.8,149.0,57.0,1013.2,296.0,14.6,30.7,3.4,126.0,60.0,1013.3,,,,,,,,0 days 00:01:02.122000,13.0
HAD,0 days 00:01:29.225000,HARD,302.0,271.0,280.0,304.0,HARD,8.0,0 days 00:01:51.945714285,,0.0,4.5,1.0,13.6375,35.425,4.0,291.625,41.25,1011.925,13.6,36.5,4.5,289.0,41.0,1011.7,0 days 00:01:28.518000,MEDIUM,306.0,272.0,280.0,309.0,MEDIUM,4.0,0 days 00:01:54.336500,,0.0,2.5,1.0,13.875,33.75,5.15,290.5,42.5,1010.65,13.5,31.4,4.2,284.0,42.0,1010.6,0 days 00:01:28.786000,MEDIUM,295.0,271.0,287.0,296.0,MEDIUM,6.0,0 days 00:01:38.656250,,0.0,5.5,3.0,14.35,39.06666666666667,3.733333333333333,149.5,38.166666666666664,1015.0666666666668,14.2,39.0,1.3,16.0,35.0,1014.9,0 days 00:01:28.278000,0 days 00:01:27.775000,0 days 00:01:27.569000,7.0,296.0,14.9,33.7,3.8,149.0,57.0,1013.2,297.0,14.6,30.8,3.5,144.0,60.0,1013.3,295.0,14.4,28.7,3.6,149.0,60.0,1013.2,0 days 00:00:37.134000,8.0
HAM,0 days 00:01:29.051000,MEDIUM,304.0,272.0,278.0,305.0,MEDIUM,10.0,0 days 00:01:43.872666666,,0.0,14.5,10.0,13.830000000000002,36.78,4.6,291.5,40.7,1011.54,13.5,36.6,5.5,284.0,42.0,1011.8,0 days 00:01:28.544000,HARD,309.0,274.0,281.0,307.0,HARD,4.0,0 days 00:01:58.005500,,0.0,2.5,1.0,13.875,33.75,5.15,290.5,42.5,1010.65,13.5,31.4,4.2,284.0,42.0,1010.6,0 days 00:01:28.524000,SOFT,297.0,270.0,290.0,298.0,SOFT,3.0,0 days 00:01:59.011000,,0.0,2.0,1.0,14.166666666666666,39.2,3.9,152.66666666666666,38.0,1015.0666666666666,14.5,39.1,1.2,155.0,34.0,1014.9,0 days 00:01:27.942000,0 days 00:01:27.610000,0 days 00:01:27.610000,8.0,297.0,14.8,33.7,3.8,149.0,57.0,1013.2,296.0,14.7,31.0,3.5,148.0,59.0,1013.2,296.0,14.7,31.0,3.5,148.0,59.0,1013.2,0 days 00:00:29.182000,7.0
HIR,0 days 00:01:29.394000,MEDIUM,305.0,277.0,276.0,307.0,MEDIUM,10.0,0 days 00:01:50.398375,,0.0,5.5,1.0,13.62,35.65,4.840000000000001,290.3,41.3,1011.89,13.7,36.3,4.1,272.0,41.0,1011.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
