Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition
ALB,0 days 00:01:29.089000,MEDIUM,321.0,249.0,319.0,264.0,MEDIUM,8,0 days 00:01:49.285714285,,0,7.5,4.0,23.75,40.2125,2.925,222.875,42.5,998.7,24.0,41.0,3.0,198,40.0,998.7,0 days 00:01:28.296000,HARD,323.0,251.0,322.0,268.0,HARD,15.0,0 days 00:01:41.257466666,0 days 00:00:09.159000,0.0,15.0,8.0,26.920000000000005,37.61333333333334,2.26,246.26666666666668,35.13333333333333,997.0933333333336,26.6,39.1,1.3,0.0,35.0,997.4,0 days 00:01:27.592000,MEDIUM,324.0,253.0,318.0,266.0,MEDIUM,5.0,0 days 00:01:46.237500,,0.0,3.0,1.0,22.52,27.72,1.72,191.8,62.6,998.52,22.3,26.6,1.8,221.0,63.0,998.9,0 days 00:01:29.466000,0 days 00:01:28.067000,0 days 00:01:27.530000,8.0,305.0,20.8,21.9,2.5,199,81.0,999.7,308.0,22.0,24.8,3.4,194.0,76.0,999.4,325.0,22.8,26.3,2.4,217.0,71.0,998.9,0 days 00:00:17.878000,8.0
ALO,0 days 00:01:29.268000,HARD,322.0,248.0,317.0,264.0,HARD,10,0 days 00:01:47.908555555,,0,7.5,3.0,23.889999999999997,40.47,2.79,229.8,42.2,998.72,24.0,41.0,3.0,198,40.0,998.7,0 days 00:01:29.134000,MEDIUM,321.0,246.0,319.0,266.0,MEDIUM,13.0,0 days 00:01:40.739583333,,0.0,12.0,6.0,26.96923076923077,37.55384615384615,2.3615384615384616,240.6153846153846,35.0,997.046153846154,26.5,38.9,3.4,262.0,37.0,997.4,0 days 00:01:27.784000,MEDIUM,325.0,251.0,315.0,266.0,MEDIUM,6.0,0 days 00:01:46.670200,,0.0,3.5,1.0,22.583333333333332,27.83333333333333,1.65,190.5,63.0,998.5333333333332,22.3,26.6,1.8,221.0,63.0,998.9,0 days 00:01:29.949000,0 days 00:01:28.368000,0 days 00:01:27.659000,9.0,304.0,20.8,21.9,2.5,212,81.0,999.5,308.0,22.0,24.8,3.4,194.0,76.0,999.4,327.0,22.7,26.5,2.2,237.0,72.0,998.7,0 days 00:00:17.193000,7.0
BOT,0 days 00:01:30.090000,MEDIUM,320.0,246.0,318.0,262.0,MEDIUM,9,0 days 00:01:47.599000,,0,5.0,1.0,23.58888888888889,39.93333333333333,2.433333333333333,243.0,42.77777777777778,998.7444444444444,24.1,40.8,2.9,330,40.0,998.5,0 days 00:01:29.378000,MEDIUM,322.0,250.0,322.0,264.0,MEDIUM,9.0,0 days 00:01:49.100375,,0.0,5.0,1.0,26.511111111111113,40.71111111111111,2.033333333333333,220.77777777777777,35.55555555555556,997.4888888888888,26.6,37.7,2.5,259.0,36.0,997.4,0 days 00:01:29.586000,HARD,320.0,250.0,312.0,264.0,HARD,7.0,0 days 00:01:40.903666666,,0.0,4.0,1.0,22.514285714285716,27.22857142857143,1.6857142857142855,211.8571428571429,62.57142857142857,998.642857142857,22.4,26.8,2.2,253.0,63.0,998.7,0 days 00:01:29.798000,,,15.0,298.0,20.8,21.9,2.5,199,81.0,999.7,,,,,,,,,,,,,,,0 days 00:00:25.830000,12.0
DEV,0 days 00:01:29.691000,MEDIUM,321.0,247.0,321.0,261.0,MEDIUM,6,0 days 00:01:50.128666666,-1 days +23:59:24.903000,0,7.5,5.0,23.566666666666663,39.86666666666667,2.6166666666666667,249.0,42.666666666666664,998.7333333333332,24.1,40.8,2.9,330,40.0,998.5,0 days 00:01:29.571000,HARD,322.0,247.0,321.0,264.0,SOFT,10.0,0 days 00:01:34.611000,,0.0,11.5,7.0,26.839999999999996,38.06000000000001,2.02,258.9,34.7,997.12,26.5,37.8,2.2,228.0,36.0,997.4,0 days 00:01:28.504000,MEDIUM,324.0,251.0,317.0,264.0,MEDIUM,8.0,0 days 00:01:45.791142857,,0.0,4.5,1.0,22.612499999999997,28.425,1.6875,194.125,62.875,998.4,22.3,26.6,1.8,221.0,63.0,998.9,0 days 00:01:30.513000,,,18.0,303.0,20.8,21.9,2.5,212,81.0,999.5,,,,,,,,,,,,,,,0 days 00:00:33.128000,17.0
GAS,0 days 00:01:29.828000,MEDIUM,313.0,247.0,312.0,263.0,MEDIUM,10,0 days 00:01:52.255666666,,0,5.5,1.0,23.52,39.81,2.5,223.1,43.0,998.78,24.2,41.0,1.6,224,40.0,998.7,0 days 00:01:28.889000,HARD,322.0,249.0,320.0,263.0,HARD,14.0,0 days 00:01:40.320076923,,0.0,14.5,8.0,26.97857142857143,37.635714285714286,2.3142857142857145,240.92857142857144,35.0,997.0714285714286,26.5,37.8,2.2,228.0,36.0,997.4,0 days 00:01:27.893000,MEDIUM,319.0,252.0,316.0,265.0,MEDIUM,7.0,0 days 00:01:48.641333333,,0.0,4.0,1.0,22.6,28.528571428571432,1.8428571428571427,186.0,62.714285714285715,998.4,22.3,26.5,2.2,256.0,62.0,998.7,0 days 00:01:29.533000,0 days 00:01:28.751000,0 days 00:01:27.689000,10.0,301.0,20.8,21.9,2.5,212,81.0,999.5,299.0,22.0,24.8,2.7,228.0,77.0,999.2,322.0,22.8,26.3,2.4,217.0,71.0,998.9,,18.0
HAM,0 days 00:01:29.768000,HARD,319.0,248.0,319.0,263.0,HARD,6,0 days 00:01:37.949800,,0,3.5,1.0,23.416666666666668,39.666666666666664,2.716666666666667,217.5,43.5,998.8333333333334,24.0,41.0,2.4,204,40.0,998.7,0 days 00:01:29.283000,MEDIUM,319.0,248.0,321.0,268.0,SOFT,13.0,0 days 00:01:42.136833333,,0.0,11.0,5.0,27.02307692307693,37.62307692307692,2.492307692307691,239.69230769230768,35.0,997.0769230769232,26.9,37.7,2.0,239.0,36.0,997.2,0 days 00:01:27.948000,SOFT,318.0,250.0,314.0,266.0,SOFT,8.0,0 days 00:01:28.869000,,0.0,4.5,1.0,22.512500000000003,27.675000000000004,1.5750000000000002,211.5,62.75,998.5375,22.5,27.2,1.7,221.0,62.0,998.5,0 days 00:01:29.415000,0 days 00:01:28.545000,0 days 00:01:27.211000,7.0,305.0,20.8,21.9,2.5,212,81.0,999.5,301.0,21.7,25.0,2.7,225.0,79.0,999.5,322.0,22.7,26.5,2.2,237.0,72.0,998.7,0 days 00:00:06.783000,3.0
HUL,0 days 00:01:30.591000,MEDIUM,321.0,248.0,322.0,260.0,MEDIUM,9,0 days 00:01:39.781750,,0,13.0,9.0,24.422222222222224,41.422222222222224,1.9666666666666663,240.88888888888889,40.333333333333336,998.5444444444444,24.0,41.0,2.2,287,41.0,998.7,0 days 00:01:28.880000,HARD,321.0,250.0,320.0,266.0,HARD,20.0,0 days 00:01:39.238578947,,0.0,15.5,6.0,26.860000000000003,37.655000000000015,2.1999999999999997,245.35,35.1,997.1,26.6,38.1,1.7,254.0,35.0,997.4,0 days 00:01:33.590000,MEDIUM,314.0,244.0,289.0,249.0,MEDIUM,7.0,0 days 00:01:33.775333333,,0.0,4.0,1.0,22.52857142857143,27.4,1.7142857142857142,198.42857142857144,62.857142857142854,998.6142857142856,22.5,27.9,2.2,162.0,63.0,998.5,0 days 00:01:29.603000,0 days 00:01:28.896000,,11.0,298.0,20.8,21.9,2.5,212,81.0,999.5,300.0,22.0,24.8,3.5,217.0,78.0,999.2,,,,,,,,0 days 00:00:26.663000,13.0
LEC,0 days 00:01:29.280000,MEDIUM,320.0,249.0,315.0,263.0,SOFT,9,0 days 00:01:44.910375,,0,11.0,7.0,24.38888888888889,41.44444444444444,2.344444444444445,243.0,39.77777777777778,998.5666666666668,24.1,40.8,2.9,330,40.0,998.5,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:01:27.419000,SOFT,327.0,254.0,318.0,268.0,INTERMEDIATE,9.0,0 days 00:01:52.904750,,0.0,7.0,3.0,20.4,21.92222222222222,2.5777777777777775,206.22222222222223,75.66666666666667,999.4444444444443,22.5,27.2,1.7,221.0,62.0,998.5,0 days 00:01:29.143000,0 days 00:01:28.361000,0 days 00:01:27.136000,4.0,305.0,20.8,21.9,2.5,212,81.0,999.5,306.0,22.0,24.8,3.4,194.0,76.0,999.4,325.0,22.7,26.5,2.2,237.0,72.0,998.7,0 days 00:00:18.689000,9.0
MAG,0 days 00:01:30.385000,HARD,322.0,247.0,318.0,262.0,SOFT,8,0 days 00:01:45.537857142,,0,10.5,7.0,24.4875,41.55,2.0,234.125,40.125,998.55,24.0,41.0,2.2,287,41.0,998.7,0 days 00:01:29.439000,MEDIUM,319.0,248.0,319.0,262.0,MEDIUM,8.0,0 days 00:01:47.509571428,,0.0,10.5,7.0,26.9625,37.075,2.4625,230.625,35.5,997.05,26.6,38.0,2.4,251.0,35.0,997.2,0 days 00:01:29.207000,MEDIUM,324.0,250.0,316.0,266.0,MEDIUM,5.0,0 days 00:01:34.984666666,,0.0,3.0,1.0,22.54,27.639999999999997,1.48,193.8,62.4,998.52,22.5,27.2,1.7,221.0,62.0,998.5,0 days 00:01:32.378000,,,19.0,297.0,20.8,21.5,2.7,216,80.0,999.5,,,,,,,,,,,,,,,,19.0
NOR,0 days 00:01:29.441000,MEDIUM,318.0,246.0,314.0,261.0,SOFT,11,0 days 00:01:44.815400,,0,6.0,1.0,24.336363636363636,41.28181818181818,2.2818181818181817,238.8181818181818,40.27272727272727,998.6090909090908,24.4,41.1,2.7,230,40.0,998.7,0 days 00:01:29.260000,HARD,317.0,249.0,317.0,267.0,HARD,12.0,0 days 00:01:39.689727272,,0.0,13.5,8.0,26.983333333333334,37.375,2.3749999999999996,242.0,35.0,997.0666666666666,26.9,38.8,1.7,251.0,34.0,997.2,0 days 00:01:28.563000,MEDIUM,319.0,251.0,311.0,267.0,MEDIUM,5.0,0 days 00:01:35.799666666,,0.0,3.0,1.0,22.639999999999997,28.78,1.72,200.4,62.6,998.32,22.6,26.9,1.6,208.0,62.0,998.7,0 days 00:01:28.917000,0 days 00:01:28.042000,0 days 00:01:26.961000,2.0,301.0,20.8,21.9,2.5,212,81.0,999.5,299.0,21.8,25.0,2.5,192.0,79.0,999.4,320.0,22.7,26.5,2.2,237.0,72.0,998.7,0 days 00:00:03.798000,2.0
